Feature,Group
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity_liver,42
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity_spleen,45
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis_liver,49
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis_spleen,63
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis_liver,80
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis_spleen,79
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_liver,6
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_spleen,4
log-sigma-1-0-mm-3D_glszm_ZoneEntropy_liver,20
log-sigma-1-0-mm-3D_glszm_ZoneEntropy_spleen,20
log-sigma-1-0-mm-3D_glszm_ZonePercentage_liver,51
log-sigma-1-0-mm-3D_glszm_ZonePercentage_spleen,51
log-sigma-1-0-mm-3D_glszm_ZoneVariance_liver,38
log-sigma-1-0-mm-3D_glszm_ZoneVariance_spleen,9
log-sigma-2-0-mm-3D_firstorder_10Percentile_liver,13
log-sigma-2-0-mm-3D_firstorder_10Percentile_spleen,12
log-sigma-2-0-mm-3D_firstorder_90Percentile_liver,64
log-sigma-2-0-mm-3D_firstorder_90Percentile_spleen,46
log-sigma-2-0-mm-3D_firstorder_Energy_liver,60
log-sigma-2-0-mm-3D_firstorder_Energy_spleen,10
log-sigma-2-0-mm-3D_firstorder_Entropy_liver,61
log-sigma-2-0-mm-3D_firstorder_Entropy_spleen,61
log-sigma-2-0-mm-3D_firstorder_InterquartileRange_liver,63
log-sigma-2-0-mm-3D_firstorder_InterquartileRange_spleen,53
log-sigma-2-0-mm-3D_firstorder_Kurtosis_liver,37
log-sigma-2-0-mm-3D_firstorder_Kurtosis_spleen,12
log-sigma-2-0-mm-3D_firstorder_Maximum_liver,80
log-sigma-2-0-mm-3D_firstorder_Maximum_spleen,76
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation_liver,54
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation_spleen,53
log-sigma-2-0-mm-3D_firstorder_Mean_liver,14
log-sigma-2-0-mm-3D_firstorder_Mean_spleen,12
log-sigma-2-0-mm-3D_firstorder_Median_liver,37
log-sigma-2-0-mm-3D_firstorder_Median_spleen,12
log-sigma-2-0-mm-3D_firstorder_Minimum_liver,6
log-sigma-2-0-mm-3D_firstorder_Minimum_spleen,6
log-sigma-2-0-mm-3D_firstorder_Range_liver,80
log-sigma-2-0-mm-3D_firstorder_Range_spleen,79
log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation_liver,61
log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation_spleen,53
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared_liver,54
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared_spleen,53
log-sigma-2-0-mm-3D_firstorder_Skewness_liver,46
log-sigma-2-0-mm-3D_firstorder_Skewness_spleen,66
log-sigma-2-0-mm-3D_firstorder_TotalEnergy_liver,60
log-sigma-2-0-mm-3D_firstorder_TotalEnergy_spleen,10
log-sigma-2-0-mm-3D_firstorder_Uniformity_liver,31
log-sigma-2-0-mm-3D_firstorder_Uniformity_spleen,12
log-sigma-2-0-mm-3D_firstorder_Variance_liver,54
log-sigma-2-0-mm-3D_firstorder_Variance_spleen,53
log-sigma-2-0-mm-3D_glcm_Autocorrelation_liver,80
log-sigma-2-0-mm-3D_glcm_Autocorrelation_spleen,79
log-sigma-2-0-mm-3D_glcm_ClusterProminence_liver,52
log-sigma-2-0-mm-3D_glcm_ClusterProminence_spleen,52
log-sigma-2-0-mm-3D_glcm_ClusterShade_liver,15
log-sigma-2-0-mm-3D_glcm_ClusterShade_spleen,15
log-sigma-2-0-mm-3D_glcm_ClusterTendency_liver,54
log-sigma-2-0-mm-3D_glcm_ClusterTendency_spleen,53
log-sigma-2-0-mm-3D_glcm_Contrast_liver,61
log-sigma-2-0-mm-3D_glcm_Contrast_spleen,61
log-sigma-2-0-mm-3D_glcm_Correlation_liver,21
log-sigma-2-0-mm-3D_glcm_Correlation_spleen,21
log-sigma-2-0-mm-3D_glcm_DifferenceAverage_liver,63
log-sigma-2-0-mm-3D_glcm_DifferenceAverage_spleen,61
log-sigma-2-0-mm-3D_glcm_DifferenceEntropy_liver,61
log-sigma-2-0-mm-3D_glcm_DifferenceEntropy_spleen,61
log-sigma-2-0-mm-3D_glcm_DifferenceVariance_liver,54
log-sigma-2-0-mm-3D_glcm_DifferenceVariance_spleen,53
log-sigma-2-0-mm-3D_glcm_Id_liver,31
log-sigma-2-0-mm-3D_glcm_Id_spleen,31
log-sigma-2-0-mm-3D_glcm_Idm_liver,31
log-sigma-2-0-mm-3D_glcm_Idm_spleen,31
log-sigma-2-0-mm-3D_glcm_Idmn_liver,37
log-sigma-2-0-mm-3D_glcm_Idmn_spleen,9
log-sigma-2-0-mm-3D_glcm_Idn_liver,37
log-sigma-2-0-mm-3D_glcm_Idn_spleen,9
log-sigma-2-0-mm-3D_glcm_Imc1_liver,46
log-sigma-2-0-mm-3D_glcm_Imc1_spleen,46
log-sigma-2-0-mm-3D_glcm_Imc2_liver,52
log-sigma-2-0-mm-3D_glcm_Imc2_spleen,53
log-sigma-2-0-mm-3D_glcm_InverseVariance_liver,51
log-sigma-2-0-mm-3D_glcm_InverseVariance_spleen,48
log-sigma-2-0-mm-3D_glcm_JointAverage_liver,80
log-sigma-2-0-mm-3D_glcm_JointAverage_spleen,79
log-sigma-2-0-mm-3D_glcm_JointEnergy_liver,31
log-sigma-2-0-mm-3D_glcm_JointEnergy_spleen,31
log-sigma-2-0-mm-3D_glcm_JointEntropy_liver,61
log-sigma-2-0-mm-3D_glcm_JointEntropy_spleen,61
log-sigma-2-0-mm-3D_glcm_MaximumProbability_liver,31
log-sigma-2-0-mm-3D_glcm_MaximumProbability_spleen,31
log-sigma-2-0-mm-3D_glcm_SumEntropy_liver,61
log-sigma-2-0-mm-3D_glcm_SumEntropy_spleen,61
log-sigma-2-0-mm-3D_glcm_SumSquares_liver,54
log-sigma-2-0-mm-3D_glcm_SumSquares_spleen,53
log-sigma-2-0-mm-3D_gldm_DependenceEntropy_liver,61
log-sigma-2-0-mm-3D_gldm_DependenceEntropy_spleen,61
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized_liver,15
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized_spleen,15
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity_liver,19
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformity_spleen,12
log-sigma-2-0-mm-3D_gldm_DependenceVariance_liver,21
log-sigma-2-0-mm-3D_gldm_DependenceVariance_spleen,21
log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity_liver,18
log-sigma-2-0-mm-3D_gldm_GrayLevelNonUniformity_spleen,12
log-sigma-2-0-mm-3D_gldm_GrayLevelVariance_liver,54
log-sigma-2-0-mm-3D_gldm_GrayLevelVariance_spleen,53
log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis_liver,80
log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis_spleen,79
log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis_liver,29
log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis_spleen,31
log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_liver,80
log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis_spleen,25
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_liver,1
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis_spleen,1
log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis_liver,6
log-sigma-2-0-mm-3D_gldm_LowGrayLevelEmphasis_spleen,6
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis_liver,54
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis_spleen,53
log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis_liver,80
log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis_spleen,56
log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis_liver,59
log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis_spleen,58
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized_liver,13
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized_spleen,12
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity_liver,44
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity_spleen,11
log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance_liver,52
log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance_spleen,52
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_liver,80
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis_spleen,79
log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis_liver,29
log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis_spleen,31
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_liver,37
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis_spleen,25
log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_liver,1
log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis_spleen,1
log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_liver,6
log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis_spleen,6
log-sigma-2-0-mm-3D_glrlm_RunEntropy_liver,20
log-sigma-2-0-mm-3D_glrlm_RunEntropy_spleen,20
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized_liver,63
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized_spleen,61
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity_liver,47
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity_spleen,45
log-sigma-2-0-mm-3D_glrlm_RunPercentage_liver,63
log-sigma-2-0-mm-3D_glrlm_RunPercentage_spleen,63
log-sigma-2-0-mm-3D_glrlm_RunVariance_liver,29
log-sigma-2-0-mm-3D_glrlm_RunVariance_spleen,31
log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis_liver,61
log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis_spleen,61
log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis_liver,80
log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis_spleen,79
log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_liver,6
log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis_spleen,4
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized_liver,13
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized_spleen,17
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity_liver,44
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity_spleen,11
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance_liver,56
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance_spleen,56
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis_liver,80
log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis_spleen,79
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis_liver,18
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis_spleen,12
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_liver,19
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis_spleen,9
log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_liver,13
log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis_spleen,12
log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_liver,6
log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis_spleen,6
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized_liver,21
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized_spleen,21
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity_liver,56
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity_spleen,10
log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis_liver,21
log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis_spleen,21
log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis_liver,80
log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis_spleen,79
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_liver,5
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis_spleen,4
log-sigma-2-0-mm-3D_glszm_ZoneEntropy_liver,46
log-sigma-2-0-mm-3D_glszm_ZoneEntropy_spleen,45
log-sigma-2-0-mm-3D_glszm_ZonePercentage_liver,54
log-sigma-2-0-mm-3D_glszm_ZonePercentage_spleen,53
log-sigma-2-0-mm-3D_glszm_ZoneVariance_liver,18
log-sigma-2-0-mm-3D_glszm_ZoneVariance_spleen,12
log-sigma-3-0-mm-3D_firstorder_10Percentile_liver,15
log-sigma-3-0-mm-3D_firstorder_10Percentile_spleen,12
log-sigma-3-0-mm-3D_firstorder_90Percentile_liver,60
log-sigma-3-0-mm-3D_firstorder_90Percentile_spleen,76
log-sigma-3-0-mm-3D_firstorder_Energy_liver,57
log-sigma-3-0-mm-3D_firstorder_Energy_spleen,10
log-sigma-3-0-mm-3D_firstorder_Entropy_liver,54
log-sigma-3-0-mm-3D_firstorder_Entropy_spleen,53
log-sigma-3-0-mm-3D_firstorder_InterquartileRange_liver,54
log-sigma-3-0-mm-3D_firstorder_InterquartileRange_spleen,53
log-sigma-3-0-mm-3D_firstorder_Kurtosis_liver,18
log-sigma-3-0-mm-3D_firstorder_Kurtosis_spleen,12
log-sigma-3-0-mm-3D_firstorder_Maximum_liver,56
log-sigma-3-0-mm-3D_firstorder_Maximum_spleen,77
log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation_liver,52
log-sigma-3-0-mm-3D_firstorder_MeanAbsoluteDeviation_spleen,53
log-sigma-3-0-mm-3D_firstorder_Mean_liver,14
log-sigma-3-0-mm-3D_firstorder_Mean_spleen,12
log-sigma-3-0-mm-3D_firstorder_Median_liver,19
log-sigma-3-0-mm-3D_firstorder_Median_spleen,12
log-sigma-3-0-mm-3D_firstorder_Minimum_liver,16
log-sigma-3-0-mm-3D_firstorder_Minimum_spleen,16
log-sigma-3-0-mm-3D_firstorder_Range_liver,80
log-sigma-3-0-mm-3D_firstorder_Range_spleen,56
log-sigma-3-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation_liver,54
log-sigma-3-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation_spleen,53
log-sigma-3-0-mm-3D_firstorder_RootMeanSquared_liver,52
log-sigma-3-0-mm-3D_firstorder_RootMeanSquared_spleen,53
log-sigma-3-0-mm-3D_firstorder_Skewness_liver,66
log-sigma-3-0-mm-3D_firstorder_Skewness_spleen,58
log-sigma-3-0-mm-3D_firstorder_TotalEnergy_liver,57
log-sigma-3-0-mm-3D_firstorder_TotalEnergy_spleen,10
log-sigma-3-0-mm-3D_firstorder_Uniformity_liver,13
log-sigma-3-0-mm-3D_firstorder_Uniformity_spleen,12
log-sigma-3-0-mm-3D_firstorder_Variance_liver,52
log-sigma-3-0-mm-3D_firstorder_Variance_spleen,53
log-sigma-3-0-mm-3D_glcm_Autocorrelation_liver,80
log-sigma-3-0-mm-3D_glcm_Autocorrelation_spleen,79
log-sigma-3-0-mm-3D_glcm_ClusterProminence_liver,52
log-sigma-3-0-mm-3D_glcm_ClusterProminence_spleen,52
log-sigma-3-0-mm-3D_glcm_ClusterShade_liver,15
log-sigma-3-0-mm-3D_glcm_ClusterShade_spleen,15
